X	Y	Bed_Alt
582954.2921	130694.5012	2873.635
582952.2921	130692.5012	2873.107
582954.2921	130692.5012	2874.274
582952.2921	130690.5012	2873.791
582950.2921	130688.5012	2872.863
582952.2921	130688.5012	2874.369
582950.2921	130686.5012	2873.852
582948.2921	130684.5012	2873.558
582950.2921	130684.5012	2874.918
582948.2921	130682.5012	2874.884
582946.2921	130680.5012	2874.703
582948.2921	130680.5012	2876.464
582946.2921	130678.5012	2875.683
582944.2921	130676.5012	2874.731
582946.2921	130676.5012	2876.25
582944.2921	130674.5012	2875.14
582942.2921	130672.5012	2873.982
582944.2921	130672.5012	2875.517
582942.2921	130670.5012	2874.254
582942.2921	130668.5012	2874.434
582940.2921	130666.5012	2873.524
582942.2921	130666.5012	2874.971
582940.2921	130664.5012	2874.578
582938.2921	130662.5012	2874.167
582940.2921	130662.5012	2876.165
582938.2921	130660.5012	2875.199
582936.2921	130658.5012	2874.104
582938.2921	130658.5012	2875.505
582936.2921	130656.5012	2874.738
582934.2921	130654.5012	2874.604
582936.2921	130654.5012	2875.764
582932.2921	130652.5012	2873.913
582934.2921	130652.5012	2875.365
582930.2921	130650.5012	2872.639
582932.2921	130650.5012	2874.437
582928.2921	130648.5012	2871.058
582930.2921	130648.5012	2872.408
582926.2921	130646.5012	2869.607
582928.2921	130646.5012	2870.361
582924.2921	130644.5012	2868.521
582926.2921	130644.5012	2869.585
582922.2921	130642.5012	2867.495
582924.2921	130642.5012	2868.886
582920.2921	130640.5012	2866.779
582922.2921	130640.5012	2868.093
582918.2921	130638.5012	2866.478
582920.2921	130638.5012	2867.659
582916.2921	130636.5012	2865.849
582918.2921	130636.5012	2867.364
582914.2921	130634.5012	2864.876
582916.2921	130634.5012	2866.707
582912.2921	130632.5012	2863.967
582914.2921	130632.5012	2865.67
582910.2921	130630.5012	2863.433
582912.2921	130630.5012	2864.88
582908.2921	130628.5012	2862.668
582910.2921	130628.5012	2864.02
582906.2921	130626.5012	2861.928
582908.2921	130626.5012	2863.232
582904.2921	130624.5012	2861.64
582906.2921	130624.5012	2862.705
582902.2921	130622.5012	2862.116
582904.2921	130622.5012	2862.538
582900.2921	130620.5012	2863.187
582902.2921	130620.5012	2862.718
582898.2921	130618.5012	2863.537
582900.2921	130618.5012	2863.772
582896.2921	130616.5012	2863.035
582898.2921	130616.5012	2864.15
582894.2921	130614.5012	2862.42
582896.2921	130614.5012	2863.912
582892.2921	130612.5012	2862.346
582894.2921	130612.5012	2863.571
582890.2921	130610.5012	2862.011
582892.2921	130610.5012	2863.261
582888.2921	130608.5012	2861.526
582890.2921	130608.5012	2862.805
582886.2921	130606.5012	2860.854
