,cell_x,cell_y,X,Y,alt
182,324.0,896.0,582779.8982,130946.8864,-9.30312497823752
183,319.0,891.0,582770.2034,130936.8962,-8.547359236153625
184,939.0,257.0,584010.5542,129667.4587,-37.242595963281474
185,218.0,285.0,582568.8279,129724.9451,-74.92746706437083
187,182.0,434.0,582495.9261,130021.023,-57.944057059295574
188,734.0,589.0,583599.2143,130332.2658,-77.80519546063852
190,934.0,257.0,583999.9614,129667.8485,-38.02835858740582
191,1179.0,471.0,584490.8716,130096.4698,-16.60750364782507
192,714.0,532.0,583560.9699,130218.5433,-87.77691821932694
194,713.0,528.0,583558.774,130209.8802,-86.50827927135288
196,731.0,583.0,583593.2614,130319.6361,-80.8153409203328
198,717.0,540.0,583566.1823,130234.3643,-92.4940834531908
200,1332.0,638.0,584795.0634,130429.3712,-53.777519840410605
202,711.0,521.0,583553.6153,130196.6511,-81.93679132224315
204,219.0,810.0,582570.4126,130774.6509,-39.72520508062098
205,188.0,432.0,582508.6070000001,130018.9458,-61.63695639961361
206,191.0,430.0,582514.2679,130013.6723,-54.625210232572954
207,1330.0,627.0,584791.2973,130408.0084,-50.78662769311177
209,928.0,257.0,583988.3869,129668.3715,-38.397312914827125
210,313.0,882.0,582757.4146,130918.5964,-10.881653836328496
211,1178.0,473.0,584487.955,130099.8678,-14.116488325428236
213,354.0,905.0,582840.9339,130964.6178,1.8351677672235382
214,707.0,509.0,583545.8689,130171.0585,-78.34727243402904
216,355.0,909.0,582842.3308,130971.2232,1.4691213190476446
217,223.0,808.0,582578.3947,130770.44099999999,-40.7681654772955
218,924.0,257.0,583980.8991,129668.3093,-38.716518332181295
219,191.0,425.0,582514.9741,130004.9307,-47.61597679716988
220,1178.0,476.0,584487.6465,130105.5842,-15.206089294906178
221,1177.0,478.0,584486.3571,130110.5207,-14.718616373882469
223,1317.0,589.0,584766.9431,130331.0268,-32.89967742984754
225,308.0,875.0,582747.5868,130904.1267,-16.172822042194184
226,354.0,911.0,582840.5626,130976.8923,-1.102165288053584
227,352.0,897.0,582835.7829,130947.545,0.08965602132093409
228,1177.0,481.0,584485.5014,130115.0268,-15.842636216893425
229,226.0,806.0,582584.4151,130765.6982,-45.72753604825857
230,914.0,257.0,583959.6545,129668.8914,-39.62419073899218
232,1177.0,483.0,584485.2952,130120.1999,-16.265202131598926
234,192.0,418.0,582515.4028,129989.7816,-42.31000693141323
235,1177.0,487.0,584485.5251,130127.0106,-16.181260407485752
236,302.0,867.0,582736.4629,130887.3693,-15.212081702933574
237,907.0,258.0,583946.6636,129670.0943,-38.84511220167951
238,904.0,258.0,583940.8379,129670.5707,-38.257477367285446
239,1176.0,489.0,584484.6626,130132.3322,-14.67577796518799
241,350.0,892.0,582832.8734,130938.052,1.833431499683229
242,901.0,258.0,583933.3973,129670.9928,-39.65479867247495
243,700.0,486.0,583532.0113,130126.3043,-83.0907345115229
245,1176.0,491.0,584483.8993,130135.8454,-16.13775301882015
246,205.0,826.0,582541.8245,130805.0086,-32.59909668568616
247,230.0,803.0,582592.8489999999,130760.3358,-48.17873436639093
248,756.0,70.0,583643.1952,129294.454,-18.505723975272304
249,637.0,198.0,583405.1333,129549.9296,-28.312118983377786
250,754.0,72.0,583640.7562,129297.3628,-18.145132614904014
251,754.0,74.0,583639.2447,129301.2668,-18.02742904852812
253,1176.0,494.0,584484.1881,130141.7226,-15.512044628314925
255,298.0,861.0,582727.0447,130876.0543,-15.36038483907987
256,756.0,69.0,583643.2288,129291.0617,-19.629603182308074
257,210.0,823.0,582551.5656,130800.6342,-33.42878984219669
258,636.0,192.0,583404.0516,129537.4884,-29.912758477968055
260,293.0,857.0,582718.3949,130867.8171,-16.281446089497877
261,636.0,191.0,583403.9720000001,129536.9147,-30.05611952829304
263,286.0,851.0,582703.8913,130856.8976,-19.774193940751502
264,636.0,188.0,583403.4269,129530.6744,-31.43666590250541
266,893.0,259.0,583918.8434,129672.0196,-40.66257614420374
267,894.0,259.0,583919.9043,129671.9638,-40.6385926310777
268,191.0,410.0,582514.6195,129973.9773,-40.16685707190754
271,237.0,827.0,582605.04,130807.7089,-41.21510615226953
272,1176.0,496.0,584483.5858,130145.4978,-16.53912505401013
273,752.0,79.0,583635.4954,129312.9433,-20.890404287643833
274,636.0,174.0,583403.6091,129502.9488,-28.07656957638028
276,636.0,182.0,583403.309,129517.6826,-29.750343155501014
278,215.0,822.0,582561.5936,130798.1802,-37.58467726196113
279,636.0,177.0,583403.6012,129508.9062,-28.971780639503322
281,280.0,848.0,582692.8109,130849.4014,-25.13488171872541
282,638.0,154.0,583407.3953,129462.8163,-19.976376144549704
284,639.0,149.0,583409.2911,129451.8675,-15.840980653659699
286,637.0,156.0,583406.8889,129466.3513,-21.280451671801075
288,248.0,831.0,582628.3016,130816.8324,-40.75401502114482
290,530.0,618.0,583191.5683,130390.0177,-20.57809890300996
292,890.0,261.0,583911.8365,129675.9208,-40.15402085898768
293,222.0,822.0,582575.6521,130797.6431,-40.436028174460716
294,229.0,824.0,582590.464,130801.0425,-42.20452793792492
295,347.0,886.0,582826.3456,130925.5908,2.7200359933212894
296,637.0,160.0,583405.7561,129473.9035,-25.633314397605318
